X,Y,time
107,126,0
109,122,152
109,118,344
106,115,570
102,115,772
98,119,911
95,123,1040
93,127,1151
92,130,1217
92,134,1337
92,137,1401
93,141,1537
94,146,1705
98,149,1969
102,151,2153
106,152,2250
110,151,2330
113,150,2378
117,149,2450
121,147,2531
125,145,2603
129,141,2718
133,140,3022
137,136,3106
141,133,3238
144,129,3322
145,125,3410
146,121,3482
146,118,3531
146,114,3594
145,109,3675
144,105,3779
141,101,3867
137,98,3949
134,94,4035
132,91,4083
128,87,4254
124,84,4374
121,79,4452
117,76,4523
113,75,4612
109,74,4717
105,75,4813
101,76,4877
97,78,5014
94,78,5071
90,81,5158
87,84,5226
83,87,5344
77,91,5512
74,93,5785
70,97,5880
66,100,5936
64,103,5977
60,106,6049
57,111,6105
54,116,6168
53,120,6220
51,124,6272
51,128,6322
51,131,6346
51,136,6401
51,140,6497
53,146,6641
54,150,6730
55,155,6802
57,160,6874
60,164,6955
63,168,7018
67,171,7115
71,173,7275
74,177,7411
78,179,7604
82,182,7691
86,184,7783
90,185,7843
95,187,7907
99,189,7980
103,190,8059
107,192,8124
111,193,8181
114,195,8221
118,194,8301
122,194,8389
126,194,8452
130,193,8501
134,192,8548
137,192,8582
141,190,8629
145,187,8702
149,185,8773
156,182,8904
158,179,8942
162,176,9002
166,172,9053
170,168,9118
173,164,9189
177,160,9261
179,155,9318
182,151,9382
184,147,9446
184,142,9551
185,138,9623
184,135,9671
184,131,9775
183,127,9839
182,123,9929
181,116,10050
182,111,10087
182,107,10134
182,104,10159
182,99,10222
182,94,10288
181,90,10343
180,87,10376
179,84,10408
175,80,10496
172,77,10560
167,73,10623
163,71,10672
159,69,10719
157,66,10752
152,63,10815
149,59,10872
146,55,10943
143,51,11016
139,47,11106
134,45,11191
130,44,11249
126,44,11353
122,43,11475
117,43,11548
113,43,11604
108,42,11716
104,42,11820
100,43,11925
96,44,11980
92,45,12029
87,46,12086
83,46,12149
80,47,12182
75,50,12241
66,54,12328
62,58,12365
58,59,12413
55,61,12438
52,64,12477
47,69,12528
44,71,12582
42,74,12622
39,78,12701
38,82,12830
37,85,12871
37,89,12951
36,94,13014
36,99,13055
35,103,13094
35,107,13207
34,111,13295
34,115,13390
34,120,13473
34,124,13542
38,124,13662
40,120,13687
41,117,13697
42,114,13719
42,110,13734
41,107,13751
41,102,13783
41,99,13799
42,95,13846
37,97,13958
35,102,14007
34,106,14038
33,109,14055
32,114,14095
31,117,14111
31,121,14126
31,125,14143
30,129,14159
29,134,14174
29,139,14192
29,144,14230
29,147,14255
29,150,14279
30,154,14334
30,157,14367
31,161,14446
31,164,14479
33,168,14618
34,172,14728
35,175,14768
36,179,14864
37,182,14920
39,186,14983
41,190,15055
43,195,15114
45,199,15192
49,202,15272
53,205,15442
57,207,15594
61,208,15735
65,209,15842
69,211,16010
72,215,16363
76,217,16475
80,220,16589
84,222,16667
87,223,16715
94,224,16857
98,224,16891
101,224,16915
105,224,16972
109,224,17035
113,224,17115
117,226,17292
121,227,17364
126,227,17443
130,227,17549
134,226,17621
137,226,17653
142,226,17702
147,225,17749
151,224,17789
154,222,17814
158,221,17861
161,220,17887
165,219,18001
169,217,18166
173,214,18293
176,213,18366
180,210,18494
184,207,18622
187,203,18711
191,199,18878
195,195,19127
199,191,19270
202,187,19382
203,184,19446
205,180,19545
206,176,19638
207,173,19670
208,169,19846
210,165,19898
213,160,19934
215,155,19982
216,152,20008
219,148,20039
221,143,20064
222,140,20088
224,136,20104
224,133,20120
225,129,20136
226,124,20171
227,121,20210
228,117,20221
229,113,20313
228,109,20359
228,106,20384
229,101,20432
228,97,20487
229,94,20512
228,89,20575
228,85,20633
228,82,20665
227,78,20713
225,74,20792
223,71,20842
219,66,20930
217,63,20954
214,59,20993
211,54,21035
207,50,21066
204,48,21083
200,45,21115
195,41,21146
193,38,21163
190,36,21179
187,33,21195
184,30,21212
179,26,21243
175,23,21275
172,23,21292
168,21,21326
162,20,21363
153,21,21438
115,239,22447
